MICHAEL-STICH,NICKLAS-KULTI
JIM-COURIER,MICHAEL-STICH
MAGNUS-LARSSON,NICKLAS-KULTI
MARTIN-SINNER,JIM-COURIER
JIMMY-ARIAS,MICHAEL-STICH
FABRICE-SANTORO,NICKLAS-KULTI
PATRIK-KUHNEN,MAGNUS-LARSSON
PAUL-HAARHUIS,JIM-COURIER
MAGNUS-GUSTAFSSON,NICKLAS-KULTI
GILAD-BLOOM,MICHAEL-STICH
TODD-WOODBRIDGE,PATRIK-KUHNEN
JASON-STOLTENBERG,JIMMY-ARIAS
SLOBODAN-ZIVOJINOVIC,MAGNUS-LARSSON
UDO-RIGLEWSKI,FABRICE-SANTORO
MARK-WOODFORDE,MARTIN-SINNER
BORIS-BECKER,MAGNUS-LARSSON
ALEXANDER-MRONZ,JIM-COURIER
HORST-SKOFF,JIMMY-ARIAS
SERGI-BRUGUERA,UDO-RIGLEWSKI
JOHN-FITZGERALD,MAGNUS-GUSTAFSSON
JEAN-PHILIPPE-FLEURIAN,MICHAEL-STICH
MARK-KOEVERMANS,MARK-WOODFORDE
GUILLAUME-RAOUX,TODD-WOODBRIDGE
SANDON-STOLLE,GILAD-BLOOM
BRAD-PEARCE,PAUL-HAARHUIS
VELI-PALOHEIMO,PATRIK-KUHNEN
AKI-RAHUNEN,NICKLAS-KULTI
THIERRY-CHAMPION,FABRICE-SANTORO
ERIC-JELEN,MARTIN-SINNER
JACCO-ELTINGH,JASON-STOLTENBERG
MARK-KRATZMANN,SLOBODAN-ZIVOJINOVIC
LARS-JONSSON,RICHARD-FROMBERG
CHRISTIAN-BERGSTROM,RICHARD-FROMBERG
OMAR-CAMPORESE,LARS-JONSSON
RAMESH-KRISHNAN,RICHARD-FROMBERG
THOMAS-HOGSTEDT,OMAR-CAMPORESE
DIMITRI-POLIAKOV,CHRISTIAN-BERGSTROM
ANDREW-SZNAJDER,LARS-JONSSON
MARIAN-VAJDA,RICHARD-FROMBERG
LUIZ-MATTAR,RAMESH-KRISHNAN
MARKUS-ZOECKE,OMAR-CAMPORESE
ALEX-ANTONITSCH,ANDREW-SZNAJDER
JAVIER-SANCHEZ,DIMITRI-POLIAKOV
PATRICK-MCENROE,CHRISTIAN-BERGSTROM
ROBBIE-WEISS,THOMAS-HOGSTEDT
JAIME-ONCINS,LARS-JONSSON
ANDREI-CHERKASOV,CHRISTIAN-BERGSTROM
ALEXANDER-VOLKOV,LARS-JONSSON
LUIS-HERRERA,RICHARD-FROMBERG
KAREL-NOVACEK,THOMAS-HOGSTEDT
KELLY-EVERNDEN,LUIZ-MATTAR
BRIAN-GARROW,OMAR-CAMPORESE
JOAO-CUNHA-SILVA,ALEX-ANTONITSCH
SERGIO-CASAL,JAVIER-SANCHEZ
BRETT-STEVEN,RAMESH-KRISHNAN
BRYAN-SHELTON,PATRICK-MCENROE
MALIVAI-WASHINGTON,JAIME-ONCINS
BRUCE-DERLIN,DIMITRI-POLIAKOV
TARIK-BENHABILES,ANDREW-SZNAJDER
FRANCISCO-CLAVET,MARIAN-VAJDA
RENZO-FURLAN,ROBBIE-WEISS
DANIEL-VACEK,MARKUS-ZOECKE
JEAN-PHILIPPE-FLEURIAN,KAREL-NOVACEK
MARIAN-VAJDA,KAREL-NOVACEK
LUIZ-MATTAR,JEAN-PHILIPPE-FLEURIAN
EMILIO-SANCHEZ,JEAN-PHILIPPE-FLEURIAN
LARS-JONSSON,KAREL-NOVACEK
CHRISTIAN-BERGSTROM,LUIZ-MATTAR
PATRIK-KUHNEN,MARIAN-VAJDA
MALIVAI-WASHINGTON,EMILIO-SANCHEZ
ANDREI-CHESNOKOV,MARIAN-VAJDA
GRANT-CONNELL,KAREL-NOVACEK
JAIME-YZAGA,LUIZ-MATTAR
OMAR-CAMPORESE,LARS-JONSSON
ALEX-ANTONITSCH,PATRIK-KUHNEN
CHUCK-ADAMS,CHRISTIAN-BERGSTROM
ERIC-JELEN,JEAN-PHILIPPE-FLEURIAN
RENZO-FURLAN,EMILIO-SANCHEZ
AKI-RAHUNEN,ANDREI-CHESNOKOV
RICHARD-FROMBERG,CHUCK-ADAMS
ALEXANDER-MRONZ,KAREL-NOVACEK
DAVID-ENGEL,LUIZ-MATTAR
FRANCISCO-CLAVET,OMAR-CAMPORESE
UDO-RIGLEWSKI,ALEX-ANTONITSCH
GILAD-BLOOM,ERIC-JELEN
JAVIER-SANCHEZ,CHRISTIAN-BERGSTROM
VELI-PALOHEIMO,GRANT-CONNELL
BRETT-STEVEN,JEAN-PHILIPPE-FLEURIAN
MARTIN-SINNER,LARS-JONSSON
RAMESH-KRISHNAN,PATRIK-KUHNEN
ROBBIE-WEISS,MARIAN-VAJDA
STEVE-GUY,MALIVAI-WASHINGTON
KELLY-EVERNDEN,JAIME-YZAGA
MICHAEL-STICH,GUY-FORGET
DERRICK-ROSTAGNO,GUY-FORGET
MAGNUS-GUSTAFSSON,MICHAEL-STICH
FABRICE-SANTORO,GUY-FORGET
DARREN-CAHILL,MAGNUS-GUSTAFSSON
MARTIN-JAITE,DERRICK-ROSTAGNO
JOHAN-ANDERSON,MICHAEL-STICH
TODD-WOODBRIDGE,GUY-FORGET
JAKOB-HLASEK,MICHAEL-STICH
AARON-KRICKSTEIN,FABRICE-SANTORO
ANDREI-CHERKASOV,MARTIN-JAITE
JIMMY-ARIAS,JOHAN-ANDERSON
RICHARD-KRAJICEK,DARREN-CAHILL
AMOS-MANSDORF,MAGNUS-GUSTAFSSON
WALLY-MASUR,DERRICK-ROSTAGNO
IVAN-LENDL,WALLY-MASUR
JONAS-SVENSSON,MAGNUS-GUSTAFSSON
SCOTT-DAVIS,GUY-FORGET
NICKLAS-KULTI,JAKOB-HLASEK
JAY-BERGER,JOHAN-ANDERSON
JASON-STOLTENBERG,AARON-KRICKSTEIN
DAVID-WHEATON,ANDREI-CHERKASOV
MARC-ROSSET,RICHARD-KRAJICEK
PETR-KORDA,JIMMY-ARIAS
SERGI-BRUGUERA,DARREN-CAHILL
GUILLAUME-RAOUX,MARTIN-JAITE
MARK-KOEVERMANS,AMOS-MANSDORF
HORST-SKOFF,DERRICK-ROSTAGNO
CARL-UWE-STEEB,FABRICE-SANTORO
ALEXANDER-VOLKOV,MICHAEL-STICH
MAGNUS-LARSSON,TODD-WOODBRIDGE
IVAN-LENDL,BORIS-BECKER
STEFAN-EDBERG,IVAN-LENDL
PATRICK-MCENROE,BORIS-BECKER
JAIME-YZAGA,STEFAN-EDBERG
GUY-FORGET,BORIS-BECKER
GORAN-PRPIC,IVAN-LENDL
CRISTIANO-CARATTI,PATRICK-MCENROE
JIM-COURIER,STEFAN-EDBERG
WAYNE-FERREIRA,BORIS-BECKER
AARON-KRICKSTEIN,IVAN-LENDL
TODD-WOODBRIDGE,GUY-FORGET
RICHARD-KRAJICEK,CRISTIANO-CARATTI
MARK-WOODFORDE,PATRICK-MCENROE
JAN-SIEMERINK,GORAN-PRPIC
MATS-WILANDER,JAIME-YZAGA
PAT-CASH,STEFAN-EDBERG
OMAR-CAMPORESE,BORIS-BECKER
MAGNUS-GUSTAFSSON,IVAN-LENDL
GORAN-IVANISEVIC,GORAN-PRPIC
