Kei Nishikori,Grigor Dimitrov
Milos Raonic,Grigor Dimitrov
Stan Wawrinka,Kei Nishikori
Rafael Nadal,Milos Raonic
Kyle Edmund,Stan Wawrinka
Jordan Thompson,Kei Nishikori
Dominic Thiem,Grigor Dimitrov
Diego Schwartzman,Milos Raonic
Viktor Troicki,Stan Wawrinka
Jared Donaldson,Kei Nishikori
Sam Groth,Dominic Thiem
Mischa Zverev,Rafael Nadal
Lucas Pouille,Kyle Edmund
Nicolas Mahut,Grigor Dimitrov
David Ferrer,Jordan Thompson
Alexandr Dolgopolov,Rafael Nadal
Gilles Simon,Lucas Pouille
Steve Johnson,Grigor Dimitrov
Bernard Tomic,David Ferrer
Gilles Muller,Jared Donaldson
Ernesto Escobedo,Kyle Edmund
Pierre-Hugues Herbert,Sam Groth
Stephane Robert,Nicolas Mahut
Sam Querrey,Diego Schwartzman
Elias Ymer,Jordan Thompson
Yoshihito Nishioka,Viktor Troicki
Alex de Minaur,Mischa Zverev
Tim Smyczek,Yoshihito Nishioka
John-Patrick Smith,Jared Donaldson
Frances Tiafoe,Alex de Minaur
Ivan Dodig,Ernesto Escobedo
Mikhail Kukushkin,Alex de Minaur
Ryan Harrison,Ivan Dodig
Go Soeda,Yoshihito Nishioka
Rajeev Ram,Jared Donaldson
Andrew Whittington,Frances Tiafoe
Bjorn Fratangelo,Tim Smyczek
Stefan Kozlov,John-Patrick Smith
Tobias Kamke,Ernesto Escobedo
Daniil Medvedev,Roberto Bautista Agut
Benoit Paire,Roberto Bautista Agut
Dudi Sela,Daniil Medvedev
Mikhail Youzhny,Roberto Bautista Agut
Albert Ramos-Vinolas,Dudi Sela
Aljaz Bedene,Benoit Paire
Jozef Kovalik,Daniil Medvedev
Marin Cilic,Jozef Kovalik
Rogerio Dutra Silva,Roberto Bautista Agut
Steve Darcis,Albert Ramos-Vinolas
Martin Klizan,Aljaz Bedene
Yuki Bhambri,Benoit Paire
Renzo Olivo,Mikhail Youzhny
Yen-Hsun Lu,Daniil Medvedev
Hyeon Chung,Dudi Sela
Konstantin Kravchuk,Benoit Paire
Borna Coric,Hyeon Chung
Saketh Myneni,Mikhail Youzhny
Radu Albot,Yen-Hsun Lu
Guillermo Garcia-Lopez,Aljaz Bedene
Ramkumar Ramanathan,Yuki Bhambri
Nikola Mektic,Steve Darcis
Dusan Lajovic,Rogerio Dutra Silva
Gastao Elias,Jozef Kovalik
Thiago Monteiro,Daniil Medvedev
Casper Ruud,Renzo Olivo
Damir Dzumhur,Dudi Sela
Jurgen Melzer,Hyeon Chung
Nicolas Kicker,Yuki Bhambri
Prajnesh Gunneswaran,Jozef Kovalik
Marco Trungelliti,Nikola Mektic
Miljan Zekic,Hyeon Chung
Sasi Kumar Mukund,Nicolas Kicker
Franko Skugor,Jozef Kovalik
Alessandro Bega,Marco Trungelliti
Steven Diez,Jurgen Melzer
Hiroki Moriya,Prajnesh Gunneswaran
Federico Gaio,Nikola Mektic
Marco Cecchinato,Yuki Bhambri
Andy Murray,Novak Djokovic
Tomas Berdych,Andy Murray
Fernando Verdasco,Novak Djokovic
Nicolas Almagro,Andy Murray
Radek Stepanek,Novak Djokovic
Jo-Wilfried Tsonga,Tomas Berdych
Ivo Karlovic,Fernando Verdasco
Gerald Melzer,Andy Murray
Horacio Zeballos,Novak Djokovic
Jiri Vesely,Tomas Berdych
David Goffin,Fernando Verdasco
Dustin Brown,Jo-Wilfried Tsonga
Karen Khachanov,Ivo Karlovic
Philipp Kohlschreiber,Nicolas Almagro
Arthur De Greef,Radek Stepanek
Jeremy Chardy,Andy Murray
Jan-Lennard Struff,Novak Djokovic
Alessandro Giannessi,Tomas Berdych
Robin Haase,David Goffin
Andrey Kuznetsov,Jo-Wilfried Tsonga
Illya Marchenko,Ivo Karlovic
Malek Jaziri,Philipp Kohlschreiber
Marcos Baghdatis,Radek Stepanek
Paolo Lorenzi,Nicolas Almagro
Facundo Bagnis,Dustin Brown
Mohamed Safwat,Arthur De Greef
Mubarak Shannan Zayid,Karen Khachanov
Paul-Henri Mathieu,Gerald Melzer
Vasek Pospisil,Fernando Verdasco
Anil Yuksel,Jiri Vesely
Florian Mayer,Horacio Zeballos
Nikoloz Basilashvili,Vasek Pospisil
Enrique Lopez-Perez,Radek Stepanek
Mirza Basic,Alessandro Giannessi
Vincent Millot,Mohamed Safwat
Luca Vanni,Nikoloz Basilashvili
Lorenzo Giustino,Radek Stepanek
Marco Chiudinelli,Mirza Basic
Thomas Fabbiano,Vincent Millot
Evgeny Donskoy,Enrique Lopez-Perez
Taro Daniel,Mohamed Safwat
Mousa Shanan Zayed,Alessandro Giannessi
Jabor Al-Mutawa,Vasek Pospisil
Daniel Evans,Gilles Muller
Viktor Troicki,Gilles Muller
Andrey Kuznetsov,Daniel Evans
Dominic Thiem,Daniel Evans
Pablo Cuevas,Gilles Muller
Philipp Kohlschreiber,Viktor Troicki
Pablo Carreno Busta,Andrey Kuznetsov
Gastao Elias,Dominic Thiem
Nicolas Mahut,Pablo Cuevas
Paolo Lorenzi,Viktor Troicki
Mischa Zverev,Pablo Carreno Busta
Jordan Thompson,Philipp Kohlschreiber
Matthew Barton,Gilles Muller
Marcel Granollers,Daniel Evans
Alex de Minaur,Andrey Kuznetsov
Fabio Fognini,Philipp Kohlschreiber
Alexandr Dolgopolov,Gilles Muller
Martin Klizan,Andrey Kuznetsov
Santiago Giraldo,Marcel Granollers
Kyle Edmund,Matthew Barton
Benoit Paire,Alex de Minaur
Christopher O'Connell,Gastao Elias
Thiago Monteiro,Daniel Evans
Florian Mayer,Paolo Lorenzi
Thomaz Bellucci,Nicolas Mahut
Nikoloz Basilashvili,Jordan Thompson
Nicolas Almagro,Mischa Zverev
Nikoloz Basilashvili,Gastao Elias
Santiago Giraldo,Thiago Monteiro
Mathias Bourgue,Matthew Barton
Enrique Lopez-Perez,Christopher O'Connell
Paul-Henri Mathieu,Mathias Bourgue
Illya Marchenko,Christopher O'Connell
Luca Vanni,Gastao Elias
Thomas Fabbiano,Thiago Monteiro
Mikhail Kukushkin,Matthew Barton
Andrew Whittington,Santiago Giraldo
Dusan Lajovic,Enrique Lopez-Perez
Rogerio Dutra Silva,Nikoloz Basilashvili
Joao Sousa,Jack Sock
Steve Johnson,Jack Sock
Marcos Baghdatis,Joao Sousa
John Isner,Steve Johnson
Jeremy Chardy,Jack Sock
Jiri Vesely,Marcos Baghdatis
Robin Haase,Joao Sousa
Malek Jaziri,John Isner
David Ferrer,Robin Haase
Ryan Harrison,Jack Sock
Feliciano Lopez,Jeremy Chardy
Yen-Hsun Lu,Steve Johnson
Dustin Brown,Marcos Baghdatis
Brydan Klein,Joao Sousa
Rubin Statham,Jiri Vesely
Albert Ramos-Vinolas,Joao Sousa
Michael Venus,Feliciano Lopez
Stephane Robert,Steve Johnson
Adrian Mannarino,Marcos Baghdatis
Michael Mmoh,Dustin Brown
Artem Sitak,Jeremy Chardy
Finn Tearney,Robin Haase
Guillermo Garcia-Lopez,Ryan Harrison
Diego Schwartzman,Malek Jaziri
Facundo Bagnis,Brydan Klein
Karen Khachanov,Yen-Hsun Lu
Horacio Zeballos,Jiri Vesely
Rubin Statham,Ryan Harrison
Steven Diez,Brydan Klein
Jerzy Janowicz,Michael Mmoh
Cameron Norrie,Finn Tearney
Marcin Matkowski,Ryan Harrison
Treat Huey,Steven Diez
Greg Jones,Michael Mmoh
Marcelo Demoliner,Cameron Norrie
Krisjanis Stabins,Jerzy Janowicz
Masato Shiga,Brydan Klein
Rhett Purcell,Rubin Statham
Aisam-Ul-Haq Qureshi,Finn Tearney
Rafael Nadal,Roger Federer
Stan Wawrinka,Roger Federer
Grigor Dimitrov,Rafael Nadal
Milos Raonic,Rafael Nadal
Jo-Wilfried Tsonga,Stan Wawrinka
David Goffin,Grigor Dimitrov
Mischa Zverev,Roger Federer
Andy Murray,Mischa Zverev
Roberto Bautista Agut,Milos Raonic
Andreas Seppi,Stan Wawrinka
Kei Nishikori,Roger Federer
Gael Monfils,Rafael Nadal
Dominic Thiem,David Goffin
Daniel Evans,Jo-Wilfried Tsonga
Denis Istomin,Grigor Dimitrov
Sam Querrey,Andy Murray
Gilles Simon,Milos Raonic
Viktor Troicki,Stan Wawrinka
Lukas Lacko,Kei Nishikori
Philipp Kohlschreiber,Gael Monfils
Benoit Paire,Dominic Thiem
Alexander Zverev,Rafael Nadal
Tomas Berdych,Roger Federer
Ivo Karlovic,David Goffin
Jack Sock,Jo-Wilfried Tsonga
David Ferrer,Roberto Bautista Agut
Richard Gasquet,Grigor Dimitrov
Bernard Tomic,Daniel Evans
Pablo Carreno Busta,Denis Istomin
Steve Darcis,Andreas Seppi
Malek Jaziri,Mischa Zverev
Andrey Rublev,Andy Murray
Novak Djokovic,Denis Istomin
Gilles Muller,Milos Raonic
Steve Johnson,Stan Wawrinka
Jeremy Chardy,Kei Nishikori
Alexandr Dolgopolov,Gael Monfils
Marin Cilic,Daniel Evans
Jordan Thompson,Dominic Thiem
Marcos Baghdatis,Rafael Nadal
Ryan Harrison,Tomas Berdych
Radek Stepanek,David Goffin
Dusan Lajovic,Jo-Wilfried Tsonga
Yoshihito Nishioka,Roberto Bautista Agut
Nick Kyrgios,Andreas Seppi
Hyeon Chung,Grigor Dimitrov
Noah Rubin,Roger Federer
Carlos Berlocq,Richard Gasquet
John Isner,Mischa Zverev
Andrew Whittington,Ivo Karlovic
Ernesto Escobedo,David Ferrer
Karen Khachanov,Jack Sock
Frances Tiafoe,Alexander Zverev
Rogerio Dutra Silva,Gilles Simon
Victor Estrella Burgos,Bernard Tomic
Paolo Lorenzi,Viktor Troicki
Kyle Edmund,Pablo Carreno Busta
Alex de Minaur,Sam Querrey
Donald Young,Philipp Kohlschreiber
Diego Schwartzman,Steve Darcis
Alexander Bublik,Malek Jaziri
Dudi Sela,Lukas Lacko
Fabio Fognini,Benoit Paire
Illya Marchenko,Andy Murray
Fernando Verdasco,Novak Djokovic
Dustin Brown,Milos Raonic
Martin Klizan,Stan Wawrinka
Andrey Kuznetsov,Kei Nishikori
Jiri Vesely,Gael Monfils
Jerzy Janowicz,Marin Cilic
Jan-Lennard Struff,Dominic Thiem
Florian Mayer,Rafael Nadal
Luca Vanni,Tomas Berdych
Reilly Opelka,David Goffin
Thiago Monteiro,Jo-Wilfried Tsonga
Guido Pella,Roberto Bautista Agut
Gastao Elias,Nick Kyrgios
Christopher O'Connell,Grigor Dimitrov
Lucas Pouille,Alexander Bublik
Jurgen Melzer,Roger Federer
Blake Mott,Richard Gasquet
Konstantin Kravchuk,John Isner
Horacio Zeballos,Ivo Karlovic
Omar Jasika,David Ferrer
Pablo Cuevas,Diego Schwartzman
Pierre-Hugues Herbert,Jack Sock
Robin Haase,Alexander Zverev
Michael Mmoh,Gilles Simon
Albert Ramos-Vinolas,Lukas Lacko
Thomaz Bellucci,Bernard Tomic
Feliciano Lopez,Fabio Fognini
Damir Dzumhur,Viktor Troicki
Peter Polansky,Pablo Carreno Busta
Quentin Halys,Sam Querrey
Nikoloz Basilashvili,Philipp Kohlschreiber
Mikhail Youzhny,Marcos Baghdatis
Radu Albot,Carlos Berlocq
Nicolas Almagro,Jeremy Chardy
Renzo Olivo,Hyeon Chung
Sam Groth,Steve Darcis
Gerald Melzer,Alex de Minaur
Borna Coric,Alexandr Dolgopolov
Jared Donaldson,Rogerio Dutra Silva
Santiago Giraldo,Kyle Edmund
Daniil Medvedev,Ernesto Escobedo
Aljaz Bedene,Victor Estrella Burgos
Facundo Bagnis,Daniel Evans
Nicolas Mahut,Ryan Harrison
Ivan Dodig,Denis Istomin
Go Soeda,Malek Jaziri
Federico Delbonis,Steve Johnson
Adrian Mannarino,Karen Khachanov
