SCOTT-DRAPER,2.797
TODD-WOODBRIDGE,2.939
MIKAEL-TILLSTROM,2.852
JEFF-TARANGO,2.791
ALEX-OBRIEN,2.99
KAROL-KUCERA,2.767
JONAS-BJORKMAN,2.585
ANDREI-CHERKASOV,3.236
MARK-WOODFORDE,2.938
JIRI-NOVAK,2.673
THOMAS-JOHANSSON,2.634
DAVID-PRINOSIL,2.895
BOHDAN-ULIHRACH,2.677
JONATHAN-STARK,3.134
PATRICK-RAFTER,2.839
BYRON-BLACK,2.836
YEVGENY-KAFELNIKOV,2.798
RICHARD-FROMBERG,2.891
ANDREI-MEDVEDEV,2.841
DANIEL-VACEK,2.829
MARC-KEVIN-GOELLNER,2.859
SLAVA-DOSEDEL,2.891
RENZO-FURLAN,2.918
NICOLAS-PEREIRA,3.52
NICKLAS-KULTI,2.977
KENNETH-CARLSEN,2.607
ALEX-RADULESCU,3.038
GALO-BLANCO,2.701
SANDON-STOLLE,3.024
MICHAEL-TEBBUTT,3.013
JEFF-SALZENSTEIN,2.774
MARTIN-DAMM,2.875
TIM-HENMAN,2.671
JIM-COURIER,2.917
SERGI-BRUGUERA,2.789
HICHAM-ARAZI,2.731
THOMAS-MUSTER,2.895
MAGNUS-GUSTAFSSON,2.811
PETR-KORDA,3.01
MAGNUS-LARSSON,2.816
CHRISTIAN-RUUD,2.938
DOMINIK-HRBATY,2.528
MAGNUS-NORMAN,2.788
RAZVAN-SABAU,2.699
PATRICK-MCENROE,3.192
JAVIER-SANCHEZ,2.954
TAMER-EL-SAWY,3.491
PATRIK-FREDRIKSSON,3.162
HERNAN-GUMY,2.907
THOMAS-ENQVIST,2.751
JAN-SIEMERINK,2.871
MICHAEL-STICH,3.235
JORDI-BURILLO,3.001
STEPHANE-SIMIAN,3.21
PAUL-HAARHUIS,3.028
SJENG-SCHALKEN,2.647
LEANDER-PAES,2.842
KARIM-ALAMI,2.863
HERBERT-WILTSCHNIG,3.265
DINU-PESCARIU,3.074
JUAN-ALBERT-VILOCA-PUIG,2.893
SULTAN-KHALFAN,3.185
OLIVER-GROSS,2.938
